A: 	deze hebben zo'n uitsteeksel bovenop 
A: 	ik vinden het een beetje lijken op een plan in een pot 
A: 	en zo'n zelfde uitsteeksel zitten ook nog aan de linkerkant 
A: 	ja en dan hebben die rechts nog iets wat op een toren lijken of een verrekijker of zo 
B: 	ja 
B: 	ja 
B: 	het zijn maar zeggen maar dat ding dat aan één kant uitsteken en dat daarboven zijn hetzelfde zeker 
B: 	ja 
B: 	ja ja 
B: 	oké 
B: 	dat zijn E 
A: 	ja 
A: 	ja 
A: 	oké dat zijn elf 
B: 	ja deze zijn met die ja met dat een ding bovenop dat ook aan de zijkant zitten zeggen maar 
B: 	zeggen maar dat dat eerst dan smal zijn en dan breder worden en dan weer smal worden 
B: 	en diezelfde zitten ook aan de zijkant 
B: 	en dan aan de ander één van de ander zijkant het zijn net of daar een wolkenkrabber doorheen zijn Geboord 
B: 	ja ja ja 
A: 	dit zijn die met één toren aan de rechterkant en zo'n ding bovenop die plant in die pot 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	oké dat zijn negen 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja die cactusachtig wolkenkrabber 
B: 	J 
A: 	dit zijn die met dat toren erin en die plant in die pot 
A: 	met zo'n zelfde uitsteeksel nog 
A: 	ja 
B: 	ja dit zijn die met die één wolkenkrabber zeggen maar 
B: 	en dan met die cactusachtig ding 
A: 	ja 
A: 	oké dat zijn vier 
B: 	die 
B: 	ja 
B: 	ja 
B: 	B 
B: 	met die een wolkenkrabber 
B: 	ja 
