B: 	deze vinden ik heel erg vaag 
B: 	je hebben dat bak en dan aan al twee de zijkant hebben die een soort van uitlaat 
B: 	en er komen aan de voorkant een soort van driehoek uit wat kunnen lijken op een boek 
B: 	en uit dat boek komen weer een staaf naar boven 
B: 	op het beker zelf liggen een balk 
B: 	een klein een klein balk 
A: 	ja 
B: 	oké zullen ik het nog een keert doen en kijken of je ? oké 
B: 	er komen aan al twee de zijkant maar de een kunnen je heel slecht zien komen een soort van twee uitlat uit 
A: 	beetje beetje driehoekig cilindervormp 
B: 	ja 
A: 	ja 
B: 	en er zitten een boek aan de voorkant of een driehoek aan de voorkant 
B: 	en uit dat driehoek komen een heel klein staaf naar boven 
B: 	en op de bovenkant liggen een klein balk en die liggen voor jou zo denken ik 
A: 	yes 
A: 	ja die liggen gelijk in de richting van het staaf van de neus zeggen maar 
B: 	ja 
A: 	ja 
A: 	nummer acht 
A: 	even kijken dit zijn die een ik vinden hem zelf een beetje op een soort gezicht met een hanenkamme lijken 
A: 	je hebben zeggen maar aan de twee aan de zijkant hebben je dus wat jij zeggen dat er een soort twee uitlaten zijn 
B: 	ja 
A: 	en dan zo'n driehoekig neusje ervoor waar een staaf uit komen en dan dat balk recht op het hoofd 
B: 	moeten hem even zoeken 
B: 	jij vinden dat een hanenkam 
B: 	ja ja 
B: 	letter E 
B: 	deze vinden ik raar hij hebben twee van die uitlaatjes 
B: 	hij hebben dat balk op zijn op de bovenkant 
B: 	en ik zeggen dat er een boek op zat met een staaf dat eruit komen 
B: 	jij vinden het op iets ander lijken maar dat kunnen ik me even niet 
A: 	ja 
A: 	ja een soort hoofd met een hanenkamme 
B: 	ja hanenkam 
A: 	ik hebben hem vinden nummer één 
A: 	dit zijn wat ik dus op dat hoofd met hanenkamme vinden lijken je hebben die twee uitlaatjes aan de zijkant en dan dat balk recht op zijn hoofd 
B: 	ja 
B: 	letter E 
B: 	dat zijn die een die jij op een hanenkam plaatsvinden lijken 
A: 	oké met het neus met het staaf erop 
B: 	ja 
A: 	ja 
A: 	nummer zestien 
A: 	wat ik dus op het hoofd plaatsvinden lijken met de hanenkam 
B: 	ja 
A: 	armp naar voren waar het stok uit opsteken en die dinge aan de zijkant 
B: 	yes 
B: 	letter O wacht met de hanenkam 
B: 	een boek wat ik wat ik wat ik vinden dat het een boek zijn als een 
A: 	ja 
A: 	dat balk 
A: 	nee nee dat balk wat op zijn hoofd liggen 
B: 	ja ja ja en hij hebben twee van die uitlat 
A: 	ja die 
B: 	oké 
B: 	letter O 
