A: 	even kijken horen 
A: 	even kijken de kort laat maar zeggen de veel compact 
A: 	ja met die horizontaal balk bovenop 
A: 	ja dat zijn bij mij nummer achten 
B: 	deze hebben een neusvormig neus 
B: 	aan de linkerkant 
B: 	ja 
B: 	geen vulkaanding 
B: 	een balk op zijn hoofd 
B: 	ja niet niet die met die driehoek op zijn hoofd maar die 
B: 	ja 
B: 	ja dat zijn hem 
A: 	ik hebben die heel compact weer 
B: 	de neus met de balk op zijn hoofd ja E 
A: 	ja zijn bij mij nummer één 
B: 	dit zijn met de neus en bak boven op zijn hoofd 
B: 	en omgekeerd hamer 
A: 	ik hebben die compact weer 
B: 	ja 
B: 	E 
A: 	nummer zestien 
B: 	de neus met de balk op zijn hoofd 
B: 	en de omgekeerd hamer 
A: 	ik hebben die compact 
B: 	oké 
B: 	O 
