A: 	dan hebben ik ik vinden deze zelf een soort vogel lijken 
A: 	hij hebben een soort bovenop hebben die een soort kuif 
A: 	en dan twee dezelfde balk naar rechts en dan een soort armp naar links en dan nog een staart eronder 
B: 	ja 
B: 	wachten 
B: 	dus je hebben twee balk aan de rechterkant 
A: 	ja twee 
B: 	en aan de linkerkant een soort pinne en een soort voe 
A: 	ja 
B: 	en bovenop zo'n ja zijn niet echt een punt een punt met een plat dak 
A: 	ja 
A: 	ja veel een soort trapezefiguur 
B: 	ja 
B: 	ja 
B: 	I 
B: 	ik hebben dat wat jij net dat vogel noemen met zeggen maar twee van die flap rechts 
B: 	dat kuifje poo en een 
A: 	dat zijn bij mij nummer twee 
B: 	ja 
A: 	ik hebben dat vogel weer 
B: 	oké 
B: 	dat zijn M 
B: 	ik hebben het vogel 
A: 	die zijn 
B: 	met die twee balk aan de rechterkant 
A: 	nummer negen 
A: 	ja 
A: 	ik hebben het vogel 
B: 	het vogel 
B: 	dat zijn bij mij F 
B: 	ik hebben het vogel 
A: 	nummer zes 
