A: 	ja 
A: 	oké ik vinden dit een soort Hamer 
A: 	want het hebben zo'n er lopen zo'n balk helemaal erdoorheen 
A: 	alleen de hamer liggen zeggen maar met de kant waarmee je slaan een beetje omhoog en er zitten dan nog een gek ding achter waarvan ik geen idee hebben 
B: 	dus als een soort schap 
B: 	zo met twee van die poot zitten er ook onder 
A: 	onder 
A: 	nee niet onder 
A: 	even kijken welk jij bedoelen 
A: 	nee 
B: 	of zijn het dat het ook wel lijken aan de linkerkant opsteken iets uit 
B: 	lijken een beetje alsof het zo zijn dichtgevouwen 
A: 	nee 
A: 	nee er zitten best wel een langwerpig buis lijken het doorheen hij zijn rechts iets lang dan links 
A: 	en dan zitten er linksachter zitten er nog een soort plaat achter en dan lijken het wel alsof het een een kaart zijn of zo van 
B: 	ja alsof zo'n een vlak alsof het op een standaard staan 
A: 	ja precies 
B: 	oké 
A: 	ja 
B: 	dan zijn het K 
B: 	ja dit zijn dat figuurt met daarachter een vlak op een standaard en twee 
B: 	paal aan de zijkant die daar zo in ge Duwd zijn 
A: 	die dat vlak onderop 
B: 	dat vlak dat staan er zeggen maar schuin achter 
B: 	op een standaard 
B: 	lijken het 
B: 	zo staan die zo tegen dat figuurt aan 
B: 	en dan twee een soort van paal 
B: 	één heel kort aan de 
A: 	die Hamer 
B: 	ja 
A: 	ja dan zijn het negen 
A: 	dit zijn die Hamer 
A: 	de Hamer met de ja die 
B: 	met het plateau aan de achterkant met standaard 
A: 	ja precies 
B: 	dat zijn F 
B: 	dit zijn met de twee paal die een beetje aan de onderkant er zo in duwen zijn en aan de achterkant een vierkant vlak met een standaard 
A: 	je bedoelen de Hamer 
B: 	ja ik zitten te twijfelen ik weten niet of jij deze de hamer noemen 
A: 	ja dat zijn de Hamer inderdaad 
B: 	oké dan de Hamer 
A: 	dus drie 
A: 	ja 
A: 	ik twijfelen even 
A: 	de Hamer 
A: 	met het de de hoe heten het 
B: 	het ding aan de achterkant 
A: 	ja 
B: 	dat zijn L 
B: 	dit zijn de hamer met het plateau boek erachter 
A: 	ja 
A: 	waar staan die bij jou 
B: 	bij mij staan die in het midden 
B: 	en dan een stuk naar onder 
A: 	ja 
A: 	vijf 
