B: 	die van mij soort van een vierkant midden door de emmer 
B: 	en daarboven zijn soort van klein pijp 
B: 	en helemaal bovenop zijn twee stok die daaruit komen 
A: 	ja zestien 
A: 	deze hebben ook een vierkant een horizontaal vierkant maar die gaan recht door de emmer heen 
A: 	en dan twee klein balkjes bovenop de emmer 
B: 	en hij roken een pijp 
A: 	ja 
B: 	ja l 
B: 	deze ja dat zijn die een die het pijp roken en waar dat vierkant er door die emmer heen zijn halverwege 
B: 	en twee staaf bovenaan uitkomen 
A: 	ja drie 
A: 	deze hebben dat vierkant in het midden door de emmer en bovenop die twee klein balkjes 
B: 	ja 
B: 	ja 
B: 	n 
B: 	deze hebben dat vierkant dat er dwars doormidden gaan en een pijp aan de linkerkant 
B: 	twee staaf bovenop 
A: 	ja vijf 
A: 	dat vierkant dat dwars door de emmer heengaan 
B: 	b 
