A: 	ja want nu hebben ik dus degeen die heel raar op die plek zitten 
A: 	ja deze vinden ik ook best wel raar het zijn een soort van trechter zitten aan een reling vast en dat zitten dan weer aan het aan de basis vast 
A: 	en er zitten een soort van bijzettafel zitten eraan 
B: 	ik denken dat ik een idee hebben maar ik weten niet zeker het zijn echt zo het zijn een plat cirkel rechts die dan zo met een dinget vastzit 
A: 	ja 
A: 	met zo'n staaf 
A: 	ja 
A: 	en dan links zijn het een soort van Bvormig reling 
B: 	dat 
B: 	ja 
B: 	ja oké 
B: 	ja dat zijn L 
B: 	dit zijn weer die aan die Bvormig reling zitten en het bijzettafel 
A: 	ja 
A: 	dat zijn zeven 
A: 	dit zijn weer met die Bvormig reling en die cirkelvormig bijzettafel 
B: 	ja 
B: 	dus dat zijn C 
B: 	dit zijn de weer de Bvormig reling met het bijzettafel 
A: 	ja dat zijn één 
A: 	dit zijn weer die Bvormig reling en dat bijzettafel 
B: 	ja dus dat zijn A 
B: 	wanneer mogen we nou stoppen 
A: 	houden vol 
B: 	oké dit zijn de Bvormig balk 
A: 	dat zijn dertien 
B: 	met het bijzettafel 
