B: 	M M M M M ja 
B: 	oké deze zijn complex er zitten wel vier of vijf dinget aan de komen kop 
B: 	waaronder hij zijn omringen door een plateau een vierkant plateau 
B: 	ja 
B: 	oké 
A: 	ah ja 
A: 	ah 
A: 	ja ik weten precies welk je bedoelen 
A: 	ja nou 
A: 	ik gaan voor een 
B: 	ja 
B: 	dat zijn B 
B: 	een bak met een plateau om zich heen bouwen 
B: 	en met twee uitstulpink op de op zijn hoofd 
A: 	okee nou er zitten ja weer één in het plateaut 
A: 	nou zijn het kop er een beetje doorheen zakken 
A: 	die gek slurf aan de voorkant 
A: 	twee spriet bovenop 
A: 	die kleint 
A: 	en een haak aan de linkerkant die naar boven uitsteken 
A: 	ja okee 
A: 	dat zijn nummer zestien 
B: 	C 
A: 	nu die een gek die door het plateau zijn zakken met zijn slurfje en twee antenne en een haak aan de linkerkant 
A: 	je weten welk ik bedoelen 
B: 	kop doorboren door een plank 
B: 	en twee 
B: 	ding op zijn kop 
B: 	ja 
B: 	waar zitten hij 
B: 	I 
A: 	ah 
A: 	nummer twaalf 
A: 	door het plateau heen Gezakt gek slurf aan de voorkant twee uitsteekselt bovenop 
