B: 	ok jij moeten hem dus raden 
B: 	ja er zitten een soort van het zijn een soort van kop en daar zitten een lepeltje in en een steel eraan en aan de bovenkant zitten een 
B: 	half rond aan de onderkant zijn hij wat spitser ik vinden het een beetje een koffiekopje 
B: 	ja aan de linkerkant zitten een steel 
B: 	ja 
B: 	nee ja er zijn zeggen maar één soort van lepeltje denken ik en er zijn een half rond aan de achterkant 
A: 	oké 
A: 	oké en dan daaronder zo'n een beetje ovaal staand ding 
A: 	oké dan weten ik denken ik welk het zijn 
A: 	dan zijn het nummer dertien 
B: 	ja 
B: 	ok dat zijn O 
A: 	oké dit zijn dat theeko wat je omschrijven 
A: 	weten je wel ? met dat lepel erin en zo'n ja waar je het aan vasthouden en zo'n soort van deksel 
A: 	ja wat eraan vastzitten 
A: 	ja die 
B: 	ja dit zijn dat kop met de lepeltje die er in hangen half rond aan de achterkant 
A: 	ah 
A: 	dat zijn nummer acht 
B: 	ja dat zijn C 
B: 	ja dit zijn met dat kop met dat half rond aan de achterkant 
B: 	dat zijn C 
A: 	dat zijn dat theekopje met dat deksel aan de zijkant 
A: 	en zo'n platform aan de onderkant 
A: 	ah oké dat zijn nummer vijftien 
A: 	dit zijn dat theekopje met die met de deksel en zo'n onderdinge 
A: 	dan zijn we klaar 
