B: 	dus nou mogen we praten toch 
B: 	ok het zijn er zeggen maar één met een schijf achter het koje en link steken een staaf uit 
A: 	een schijf achter het kop 
B: 	ja niet echt een bol zeggen maar maar veel een gewoon een rond vlak en je zien hem maar voor de helft hij zitten er zeggen maar achter verstpen 
B: 	en er steken rechtboven ook nog iets uit 
A: 	ok wat voor figuur hebben je er allemaal in 
B: 	hoe bedoelen je er in 
A: 	als in zien je een vierkantje of een rond 
B: 	ja je zien aan de linkerkant van het soort van kop iets uitsteken 
A: 	ja 
B: 	en achter het kop zien je zeggen maar een half half rond 
A: 	ja 
B: 	en rechtsboven in het kop zullen je kunnen zeggen opsteken nog iets uit een soort van ja leeg ballon 
A: 	ja 
A: 	okan en dan aan de onderkant zitten een soort van 
B: 	ja op soort van blok iets in die richting 
A: 	een beetje rondig 
B: 	ja 
A: 	ok nou moeten ik het nummer zeggen toch 
B: 	ja 
A: 	dertien ? en dan de geel knop 
A: 	ok deze hebben een ballonne er in en zo'n een rond schijf maar die zitten er maar voor de helft die zijn maar voor de helft zichtbaar ja die een ja 
B: 	die verstopt ja 
B: 	en dan zo'n uitstekend dinge link 
A: 	ja en dat blok onderin wat niet echt een blok zijn 
B: 	ja zijn O 
A: 	nou zijn het weer anders 
B: 	het zijn veranderen ja 
B: 	het zijn zegmaar die met zo'n ballonne eruit en weer zo'n half schijf er achter die er achter verstpen zitten en link steken een dinge uit aan de onderkant zitten dat gek blok 
A: 	dat blok achten 
A: 	ballonne er bovenin en dan dat half schijf en daar onderin dat blok en een rond wat er uit opsteken zo'n lang 
B: 	aan de linkerkant 
A: 	ja 
B: 	C 
B: 	zegmaar ballonne er uit een blok links en half schijf aan de achterkant en dan onder zo'n gek blok waar hij op staat 
A: 	ballonne er uit 
A: 	nog een keer 
B: 	en dan zo'n schijfje wat je half inzien aan de achterkant en link opsteken er weer zo'n rond blok uit 
A: 	gewoon het gek blok aan de onderkant 
B: 	ja met dat gek blok aan de onderkant 
A: 	zeven 
A: 	die met dat gek blok aan de onderkant ballonne er in half cirkel en dat dinge wat er uit opsteken 
B: 	aan de linkerkant ja C 
A: 	jeuj 
B: 	jeuj 
