B: 	ah deze hebben ik kop met schotel noemen 
B: 	want het zo'n ja een schotel onder het kop eigenlijk 
A: 	met van die raar uitsteeksel aan de zijkant en die driehoekjes die zo op elkaar zitten 
B: 	ja 
B: 	die 
B: 	vierkant 
A: 	ja dat bedoelen ik sorry ja ja die vierkant waar die drie zo op elkaar zitten 
B: 	ja 
B: 	ja ja ja 
A: 	ja dat zijn nummer vijf 
B: 	dat zijn natuurlijk ook zullen we gewoon zo aanwijzen misschien 
A: 	ja 
A: 	deze zitten met die vierkan op elkaar stapelen zo de drie vierkant 
B: 	ja met een schotel 
A: 	ja precies op de voorkant 
B: 	ja oké 
B: 	J 
B: 	dit zijn die een met die vier vierkant aan beide kant 
A: 	ja 
B: 	en schotel 
A: 	ja 
A: 	dat zijn elf 
A: 	dit zijn die met die driehoek weer die die vierkant bedoelen ik die vier driehoek 
B: 	ja 
B: 	P 
B: 	het kop met die vierkan 
A: 	die zo erlangs 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
B: 	ja 
A: 	de vierkant op elkaar 
B: 	ja 
B: 	L 
