B: 	aan de rechtervoorkant zitten een soort van bolle en daar zitten niks aan 
B: 	aan de bovenkant zitten één een rechthoekig langwerpig uitsteeksel 
B: 	dat toren 
B: 	en aan de linkerkant zijn een soort van gek vormp dat ook 
B: 	ja ja 
B: 	c 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en aan de linkerkant zijn soort goo 
A: 	ja 
A: 	oké negen 
B: 	ik hebben die soort van dat ballet voorop 
B: 	dan dat een heel gek voorwerp en die lang recht staaf dat 
B: 	ja bovenop hoe noemen je die ook alweer 
B: 	ja ja dobberen ja ja 
B: 	ja waar zijn 
B: 	waar zitten die 
B: 	stom 
B: 	ah l 
B: 	ik hebben de dobber bovenop 
A: 	ja deze hebben dus ook vier uitsteeksel , twee aan de bovenkant 
A: 	één een beetje link 
A: 	link zijn een soort goo 
A: 	en rechts aan de voorkant zijn er een soort bal 
A: 	ja 
B: 	de dobber 
B: 	zijn even bezig met zoeken ah n 
A: 	ja 
A: 	en ja liniaal die eruit steken en een geen idee , toverstaf 
A: 	nummer twaalf 
A: 	deze hebben vier uitsteking 
A: 	of vier uitsteeksel , aan de linkerkant zijn het een soort goo 
A: 	en in in de vaas of in de emmer steken doorsteken uit een liniaal aan de rechterkant 
A: 	en links een soort toverstafje en rechts zijn ook een rond vorm die nog uitsteken 
A: 	ja 
A: 	en de toverstaf 
A: 	nummer zes 
A: 	deze zijn met de liniaal en de toverstaf 
A: 	en links het goot 
