A: 	ik vinden dit een stopcontact er zitten twee balk zo naar wachten even voor jou zijn dat de ander kant 
A: 	er zitten twee balk naar de zijkant 
A: 	en zo'n zo'n vorm aan de bovenkant 
A: 	en er zitten nog een gek uitsteeksel aan 
B: 	met ook zo'n soort van uitlaa aan de onderkant of 
A: 	ja zo'n uitlaa aan de onderkant en dan zeggen maar voor mij zijn het die 
B: 	ja dan hebben ik hem dat zijn I 
B: 	ik moeten altijd even kijken of het één I of een L zijn 
B: 	maar het zijn een I 
B: 	het zijn een beetje een het wat jij een stekkerding stopcontact of iets vinden 
A: 	ja 
B: 	nou dat zijn hem 
A: 	oké nummer twee 
A: 	dit zijn de stekker 
B: 	ik weten welk je bedoelen even loeren ja M 
B: 	stekker 
A: 	ja nummer negen 
B: 	oké 
A: 	dit zijn het de stekker stekker 
B: 	ja vinden F 
B: 	het zijn een stekker 
A: 	ja zes 
