B: 	deze hebben twee of hebben een schroef op zijn hoofd dat zijn misschien nog de handig 
B: 	een groot vierkant 
B: 	een beetje tegen zijn oog aan 
B: 	en eigenlijk of tegen zijn hoofd aan want zijn oog zijn eigenlijk twee vierkant schroef 
A: 	ja 
A: 	dat zijn zes 
A: 	deze hebben rechtsvoor een plateau 
A: 	een soort paddestoel op zijn hoofd 
A: 	jij zeggen het anders maar ja een soort speld 
B: 	dat maken niet uit 
A: 	en aan de linkerkant twee identiek uitstulping 
B: 	ja dat zijn k 
B: 	deze hebben een paddestoel op zijn hoofd 
B: 	een scherm rechts van zijn hoofd een vierkant 
A: 	dat zijn vier 
B: 	en twee 
A: 	deze hebben een paddestoel op zijn hoofd en een scherm aan de voorkant en twee vierkant schroef 
B: 	ja m 
B: 	paddestoel vierkant en vierkant schroef 
A: 	ja twaalf 
A: 	nou ja dit zijn met paddestoel op zijn hoofd 
B: 	met de twee vierkant schroef 
A: 	het het lijken wel een robot 
A: 	ja 
B: 	ja een beetje wel 
A: 	ja 
B: 	dat zijn i 
