A: 	deze hebben twee uitsteeksel één rechts één link met van die bollen op het einde 
A: 	rechts zijn die wat lang en aan de achterkant staan nog een vierkant of zo 
B: 	ja 
B: 	oké ja dan zijn het K 
B: 	oké deze hebben die uitsteeksel met aan de zijkant een bol waarvan de een lang zijn dan de ander 
A: 	ja 
B: 	en aan de achterkant zitten wat ik vinden een beetje zo'n metselding lijken 
A: 	metselding 
B: 	maar met zo'n balk zeggen maar zo'n plat en dan zijn nog een streep daaraan 
A: 	ja 
A: 	ja oké dus het zijn die met met van die uitsteeksel met die rond bol op het einde 
B: 	ja 
B: 	ja ja ja 
A: 	ja oké 
A: 	dan zijn het negen 
B: 	oké 
A: 	dit zijn die met die twee uitsteeksel met die bollen aan het einde die aan allebei de kant ja die niet even lang zijn zeggen maar 
B: 	ja ik moeten even zoeken waar die staan 
A: 	met dat metselding 
B: 	ja ik moeten alleen even zoeken waar die staan want anders hebben het ja ja oké ja ja dat zijn F 
A: 	ja 
B: 	oké 
B: 	ik hebben die met die twee uitsteeksel met een bol erop die niet even lang zijn 
A: 	ja 
B: 	en die metselding 
A: 	oké dat zijn drie 
B: 	oké 
A: 	dit zijn die met die twee ongelijk uitsteeksel met die bol op het einde 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
B: 	ik hebben diegene met die uitsteeksel en een bol op erop en dan dat die ongelijk zijn aan twee kant 
A: 	ja 
A: 	even zoeken 
B: 	ja staan weer anders 
A: 	wow 
A: 	ja ja vijf 
