A: 	ja ik vinden dit een beetje op een hond lijken of zo die opspringen 
A: 	dus zo'n ruit bovenop twee zo'n rui heel erg naast elkaar met twee van die ding aan de zijkant ik denken dat 
B: 	en twee blok 
A: 	ja van die blok 
B: 	en onderaan hebben die nog een soort van poo of zo 
A: 	ja zo'n poo staart en dan voor nog twee zo'n ding 
B: 	ja dan weten ik het 
B: 	ja 
B: 	dan zijn het M 
B: 	dit vinden jij op die hond lijken 
A: 	ja ja ik weten hem 
A: 	nummer negen 
A: 	dit zijn dat hond 
A: 	het opspringen hond 
B: 	even kijken waar die staan ja nummer of H 
B: 	dat zijn het hond 
A: 	ja 
A: 	nummer elf 
A: 	het hond 
B: 	even kijken 
B: 	ja D 
B: 	de hond 
A: 	nummer veertien 
