B: 	ik hebben het vierkant volgens mij 
B: 	het zijn nou ja die basisvorm en dan zitten er een half cirkel achter 
B: 	met aan de linkerkant zijn een soort van armp wat uitsteken en dan zitten er een soort van 
A: 	ja zo'n 
B: 	ja 
A: 	ja 
A: 	ja die hebben ik 
A: 	zijn nummer dertien 
A: 	moeten ik dan op een geel knop drukken 
B: 	ja 
A: 	dit zijn degeen met zo'n stokuitsteeksel en zo'n ja soort van kegel zo 
A: 	en daar zitten ook nog een cirkel aan de achterkant 
A: 	die kunnen je niet helemaal zien 
A: 	en hij staan op een er zitten ook nog niets onder 
B: 	ja ja dat zijn O 
A: 	we gaan weer veranderen wat leuk 
B: 	shit 
B: 	ik hebben het rood licht sorry 
B: 	het zijn die die op een soort van dinge staan waardoor het lijken alsof hij poot hebben en hij hebben die half cirkel daarachter 
B: 	en een kegel 
A: 	ja ik weten welk je bedoelen even zoeken 
A: 	ja ik hebben hem 
A: 	acht 
A: 	dit zijn degeen met de hoe hoe noemen je deze ook alweer 
A: 	er zitten zo'n zo'n uitsteeksel en zo'n stok 
A: 	en het rond achter 
A: 	die je niet helemaal kunnen zien 
B: 	ja C 
B: 	het zijn die met die soort van been en met die half cirkel erachter 
A: 	ja 
A: 	zijn zo'n blok veel toch 
A: 	en zo'n 
B: 	ja 
A: 	oké 
A: 	ja zeven 
A: 	dit zijn diegene met de half cirkel achter en de kegel bovenop 
B: 	ja 
B: 	C 
A: 	kijken 
B: 	ik hopen niet dat we nog lang moeten staan 
A: 	nee ik denken het niet 
B: 	klaar mee 
