A: 	oké nu hebben ik een rood vierkant 
A: 	ik hebben zo'n ja er een beetje aan de rechterkant ervoor zitten zo'n soort staaf 
A: 	met zo'n bolle in het midden 
A: 	en er opsteken zo'n ja rond uit het lijken een beetje op zo'n zuignap alsof die die vastheeft 
B: 	ook en dan ook met zo'n een staaf 
A: 	lepel of zo lijken het of die er een beetje in zitten in dat komme of ja zo'n soort dinge steken eruit 
B: 	ja 
B: 	oké 
B: 	ja dan zijn het bij mij F 
B: 	ik hebben nou weer die een ook weer met zo'n een bolle aan de voorkant zeggen maar met zo'n staaf erdoorheen en dan weer een 
B: 	aan de einde van de staaf ook zo'n rond zeggen maar 
B: 	wat jij net een zuignap noemen 
A: 	ja die 
A: 	met dat dinge ook nog eruit steken 
B: 	ja 
A: 	oké dat zijn nummer vijf bij mij 
A: 	ik hebben nu die een met die zuignap 
A: 	dat bolle ervoor zeggen maar met die zuignap zo'n arm zo'n dinge eruit 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	weer die een zuignap zeggen maar met dat dat rond en dan die staaf erdoorheen en 
A: 	ja 
A: 	nummer vijf zijn dat bij mij 
B: 	oké 
A: 	ik hebben nu die een met die zuignap staan bij mij helemaal midden onderin 
B: 	ja bij mij zijn dat H 
B: 	die een met die zuignap zeggen maar dat rond en dan 
A: 	ja 
A: 	nummer vijftien zijn dat bij mij 
