B: 	ok dit zijn die telescoop wat je zeggen alleen met twee ding 
A: 	die 
B: 	en dan het vlak rechts zitten er op en dan bovenop zitten er nog een soort spijker 
A: 	ja met zo'n bolle bovenop die ja 
B: 	ja 
A: 	het lijken op een robot dat zijn nummer twee bij mij 
A: 	ja dit zijn die op die robot lijken met twee van die telescoopog en zo'n vierkant link van hem met zo'n spijker boven in zijn hoofd 
B: 	ja dat zijn voor mij G 
B: 	ok dit zijn met de telescoop twee ding een vierkant vlak en één spijker bovenop 
A: 	ja 
A: 	ja dat zijn nummer negen 
A: 	ja dit zijn met die twee telescoopog en dat vierkant aan de zijkant en die spijker bovenop 
B: 	ja dat zijn voor mij d 
B: 	dit zijn met twee telesco één vierkant en een spijker 
A: 	ja dat zijn even kijken waar staan hij één 
A: 	dit zijn met die twee telescoopog spijker bovenin en een vierkant aan de zijkant of voorkant 
B: 	ja dat zijn voor mij B 
