B: 	ik hebben hem deze keer in principe lijken het een soort plaat te hebben over in het midden van het kelkvormig dinge of in het midden van de 
B: 	mokvormig basisvorm 
B: 	dan hebben je twee uitsteeksel aan de bovenkant en een soort hoekuitsteeksel en dan nog een cilindervormig ding 
A: 	ja 
A: 	dat zijn hier nummer zestien 
A: 	dit zijn de koffiemok die twee klein staafjes aan de bovenkant hebben die even groot zijn 
B: 	ja 
A: 	er zitten ook een vierkant schot omheen 
B: 	ja dan weten ik wel dat zijn denken ik C met een cilinder en dan een hoek aan de 
A: 	ja 
B: 	ja C 
A: 	ja 
B: 	ik hebben degeen waarbij op een drie van de basisvorm een soort vierkant zitten 
B: 	daarboven zijn een soort uitstekend cilinder 
B: 	en dan twee van die gelijk klein balkjes boven en dan rechts of link nog een hoekig handvat 
A: 	ja 
A: 	dat zijn hier nummer dertien 
A: 	dit zijn de mok waar een plateau aan vastzitten eigenlijk aan de onderkant 
A: 	en er komen twee gelijk stokjes aan de bovenkant uit 
A: 	link komen een soort van tetrisblokje uit en aan de voorkant een lang rond vorm 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	ik hebben degeen met op een drie dus dat dat soort plateau dat het doorklieven en dan links 
B: 	de het uitsteeksel met een hoek erin en boven die twee klein blok en dan voor 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn de mok waarbij er twee dezelfde stokjes aan de bovenkant uit komen 
A: 	aan de onderkant zo'n vierkant plateau zitten 
B: 	ja 
A: 	link zo'n tetrisblok uit komen en een rond aan de voorkant 
B: 	yes N 
