A: 	oké 
A: 	deze hebben aan beide kant een soort stomp alsof die zijn arm uitstrekken of zo 
A: 	en aan de achterkant zitten nog een beetje een niet helemaal identificeerbaar figuur een soort vierkant met nog iets eraan 
A: 	ja linksachter hebben die iets zitten 
A: 	en dan staan die een beetje zo 
B: 	oké 
B: 	en hebben die stomp een soort van rond uiteinde 
A: 	ja ja 
B: 	ja 
B: 	K 
B: 	ik hebben dat ding met die twee stomp aan de linker en aan de rechterkant met dat bol einde 
B: 	en dan er nog zo'n raar vierkantje achter 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	nu hebben ik weer met die twee knobbelt met die rond ding aan het uiteinde daarvan 
B: 	ja ja die stomp 
A: 	ja die stomp 
B: 	F 
B: 	ik hebben dat met die stomp met die rond uiteindjes 
A: 	dat zijn nummer drie 
A: 	ik hebben met die armpjes met die knobbel eraan 
B: 	dat zijn bij mij L 
B: 	ik hebben met die twee stomp met die rond uiteindjes 
B: 	het zijn weer wisselen ? ja 
A: 	ja dit zijn de laat 
A: 	nummer vijf 
