A: 	top 
A: 	nou hebben ik hem 
A: 	het zijn een soort van koffiekopje waarbij het lijken alsof het lepel Linksboven daaruit steken 
A: 	en aan de voorkant zitten een rond balle met een rechthoekig staaf erdoorheen met een soort van schotel aan het einde 
B: 	en zitten het schotel echt onder het 
A: 	nee aan de voorkant aan het aan het handvat maar eigenlijk als je kijken naar het lepeltje wat linksboven uitsteken 
B: 	aan het voorkant 
B: 	ja 
B: 	ja 
A: 	dan zijn het er als het goed zijn maar één 
B: 	ja precies dat zijn bij mij nummer F denken ik 
B: 	moeten je op de geel drukken ja toch ? 
B: 	ik hebben het eivormig deel voor 
B: 	twee zeggen maar dat eivormig deel lijken het balk te doorsplitsen en aan het eind van het balk zitten dan een plat cirkel 
B: 	en dan opsteken daarboven nog een klein frommeltje uit 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	yes 
A: 	dit zijn de mok waarbij er Linksboven een klein lepeltje uit opsteken 
A: 	en aan de voorkant zitten een verticaal balk die vasthouden worden door een rond 
A: 	en aan het einde zitten zo'n soort van plat rond aan de rechterkant 
B: 	ja dat zijn dan denken ik de A 
B: 	ja 
B: 	ik hebben degeen met een plat cirkel aan de rechterkant 
B: 	volgen door een klein cilinder 
B: 	een rond vorm 
B: 	weer een klein of klein balk en dan aan de linkerkant dat uitstekend lepeltjeidee 
A: 	ja 
A: 	dat zijn nummer vijf hier 
A: 	hier opsteken het koffielepel linksboven uit 
A: 	aan de voorkant zitten een een horizontaal staaf 
A: 	die gaan door een rond heen 
B: 	ah ja 
A: 	en aan de rechterkant zitten een plat rond 
B: 	bij mij zijn dat nummer H 
B: 	ik hebben degeen met een soort ei voor 
B: 	dan waar twee balk uit komen rechts een plat cirkel als afsluiter en links dat 
A: 	ja 
A: 	nummer vijftien 
