B: 	ja 
B: 	ja 
B: 	b 
B: 	deze hebben die die stok door die emmer heen 
B: 	aan de een kant zijn hij wat kort en hij hebben een bobbel aan het eind en dan aan de ander kant zijn hij iets lang 
B: 	achterop zijn een schuin vierkant 
B: 	met daar ook een soort van ding eraan 
B: 	zo of hij liggen achter de emmer soort van een baseballbat 
B: 	maar dan niet echt 
B: 	achter de emmer zijn een 
B: 	ja 
B: 	ja 
B: 	ja die staaf lijken een beetje op een baseballbat 
A: 	even kijken dit beker lijken het alsof het twee stomp hebben aan de alsof het twee armp hebben 
A: 	dus zowel rechts als links hebben het een uitsteeksel met een soort ja stompje doen het me echt aan denken 
A: 	aan de bovenkant hebben het een soort vierkant wat eraan vastzitten 
A: 	aan de linkerzijde 
A: 	en vanuit daar lopen het ook nog een beetje naar beneden 
A: 	met zo'n bolling inderdaad ja 
B: 	ja 
B: 	where did it go ? l 
B: 	deze hebben de baseballbat 
B: 	ja I 
B: 	De baseballbat 
A: 	ja 
A: 	ja dat zijn nummer vier 
A: 	dat zijn weer die stomp 
A: 	met het dinge linksachter 
A: 	ja waar zitten die 
A: 	nummer veertien 
A: 	de stomp aan beide zij 
A: 	waar zijn die 
A: 	ja nummer zestien 
