A: 	ja zo'n zo'n soort tutu en dan hebben die zo'n omgedraaide L als linkerkant 
A: 	oké dat zijn bij mij nummer zes 
B: 	de er zitten een soort van haak aan de linkerkant 
B: 	en er steken twee dinge bovenuit 
B: 	en er zitten een vierkant schijf doorheen 
B: 	ik zien het ook als een glijbaan 
B: 	C 
A: 	die een met dat vierkant op ongeveer buikhoogte 
A: 	ja ja tutu noemen ik hem met die L 
A: 	ja 
B: 	bij mij zijn weer met de glijbaan 
A: 	en dat zijn dertien 
B: 	dan weten je denken ik welk ik bedoelen 
A: 	die met die die tutu en dat dat L'etje 
B: 	ja J 
A: 	ja dat zijn nummer negen 
B: 	dit zijn de glijbaan 
A: 	die met die met dat rok 
A: 	ja 
B: 	ja 
B: 	waar zijn die 
B: 	N 
