A: 	ja dit zijn bij mij ja ik hebben even kijken ja ik omschrijf dat veel als een zeepaardje of zo 
B: 	ik hebben het als een kip denken ik 
A: 	ja 
A: 	ja zeggen maar die die die driehoek aan het einde en dan aan de achter achter die emmer zeggen maar daar zitten die zitten zo'n ruit of zo en dan aan beide kant zitten dezelfde zelfde 
B: 	die die bedoelen je en dan dan zitten aan de een kant zitten zo'n haak en aan de ander kant niet 
A: 	nee ja alleen de onderkant onderkant 
B: 	aan de ja aan de onderkant wel en aan de aan één zijkant en de ander zijkant niet 
A: 	ja 
A: 	nee precies 
A: 	die ja 
B: 	ja dat zijn M 
A: 	M 
B: 	dit zijn die dat zeepaard van jou 
A: 	het zeepaard van mij 
A: 	eens even kijken dat zijn negen 
A: 	ja dit zijn dat zeepaard 
B: 	ik gaan even kijken waar die zijn 
B: 	ik kunnen hem niet vinden 
B: 	ja daar 
B: 	die staan op H 
A: 	H 
B: 	dit zijn zeepaard 
A: 	het zeepaard 
A: 	elf 
A: 	dit zijn dat zeepaard 
B: 	ja D 
B: 	dit zijn zeepaard 
A: 	het zeepaard veertien 
