B: 	ja ik vinden dit echt op een wijnglas lijken vaststaan ook op zo'n statief 
B: 	met die driehoek 
A: 	met die driehoek 
B: 	die zo'n beetje draaien zijn 
A: 	en dan drie dinget 
B: 	ja 
A: 	twee vierkant en een 
A: 	oké dat zijn nummer vier 
A: 	dit zijn jou wijnglas die met die driehoek en dat en die twee vierkant en 
B: 	ja 
B: 	ja 
B: 	dat zijn A 
B: 	dit zijn het wijnglas weer 
B: 	met dat driehoek statiefje 
A: 	waar staan die 
A: 	we we zijn er zo snel weer ah ja daar 
A: 	nummer tien 
A: 	ja ik moeten zeggen 
B: 	ja 
A: 	het wijnglas 
B: 	oké 
B: 	dat zijn L 
B: 	het wijnglas 
A: 	ja vier 
A: 	het wijnglas 
B: 	dat zijn F 
