B: 	mijn vormp hebben zeggen maar aan de zijkant een bolle ertegen 
B: 	aan de rechterzijkant 
B: 	en op de bovenkant een balk en een soort kegel 
A: 	ja zo'n van bowlingkegel 
B: 	en dan en nog een soort linkerdinge eraan 
A: 	ja dat zijn veertien 
B: 	ja 
A: 	ja een bolle rechts een driehoek link 
A: 	en dan een kegel erbovenop en een staaf er rechts naast 
B: 	ja 
B: 	N 
B: 	dit zijn weer met dat bolletje rechts aan de zijkant 
B: 	en er zeggen maar een beetje op zitten een balk of en een soort kegel erop 
B: 	en aan de linkerkant een soort driehoek 
A: 	een kijken waar zijn het ook alweer 
A: 	ja bolletje rechts driehoek link kegel erbovenop balk erbovenop 
B: 	ja 
A: 	negen zijn dat 
A: 	hebben ik nu weer vier figuur bollet driehoek kegel staaf 
B: 	oeh 
B: 	bolle 
A: 	ja 
B: 	wachten met het het het staaf en het kegel erin en dan aan de 
A: 	dit zijn met die kegel 
A: 	ja 
B: 	dat zijn bij mij G 
B: 	ik hebben met het bolle aan de rechterkant en dan die balk en die kegel 
A: 	ja nummer vijf 
A: 	ik hebben die met een cirkel aan de rechterkant een driehoek aan de linkerkant een kegel en een balk 
B: 	ja dat zijn J 
