A: 	ja dan zijn het twee 
B: 	ja nou we hebben de de adapter weer 
B: 	ja 
B: 	ja 
A: 	dit zijn die met die twee torent aan de zijkant erin en die paddenstoel bovenop 
A: 	en dat plat ding nog aan de voorkant 
A: 	ja 
A: 	ja 
A: 	ja oké 
A: 	dat zijn negen 
A: 	ik hebben die met die twee kasteelt en die paddenstoel 
A: 	ja 
B: 	ja die 
B: 	ja 
B: 	dat zijn G 
B: 	ja dit zijn die met die twee wolkenkrabber 
B: 	die tegenaan 
B: 	ja ja ja 
A: 	ja dat zijn één 
B: 	ja 
B: 	D 
A: 	dit zijn die met die paddenstoel en die torent 
B: 	dit zijn die twee wolkenkrabber 
B: 	ja 
B: 	B 
