B: 	die van mij soort van een vierkant midden door de emmer 
B: 	en daarboven zijn soort van klein pijpje 
B: 	en helemaal bovenop zijn twee stok die daaruit komen 
A: 	twee kuifjes hier 
A: 	ja hier 
A: 	en hij hebben zo'n arm zo 
A: 	en een langwerpig neus 
A: 	okee zijn nummer een 
B: 	en hij roken een pijpje 
B: 	ja l 
B: 	deze ja dat zijn die een die het pijpje roken en waar dat vierkant er door die emmer heen zijn halverwege 
A: 	deze zijn half doorgezakt door de door de tafel laten we het zo maar zeggen 
B: 	en twee staaf bovenaan uitkomen 
A: 	hebben zo'n arm en twee ding hierzo uitsteken 
A: 	ja en dan één zo'n raar neus die 
A: 	okee dat zijn nummer zes 
B: 	ja 
B: 	ja 
B: 	n 
A: 	deze half door de tafel zakken met zo'n arm en hier twee van diezelfde ding 
A: 	en een neus 
B: 	deze hebben dat vierkant dat er dwars doormidd gaan en een pijpje aan de linkerkant 
B: 	twee staaf bovenop 
B: 	b 
A: 	ja en zo'n arm 
A: 	dat zijn vijfteen 
A: 	dit zijn die een die half doorgezakken zijn met twee dezelfde ding hierboven en zo ja zo'n arm 
A: 	en een soort van 
