A: 	oké nu hebben ik een rood vierkant 
A: 	ik hebben zo'n ja er een beetje aan de rechterkant ervoor zitten zo'n soort staaf 
A: 	met zo'n bolle in het midden 
A: 	en er steken zo'n ja rond uit het lijken een beetje op zo'n zuignap alsof die die vasthebben 
A: 	lepeltje of zo lijken het of die er een beetje in zitten in dat komme of ja zo'n soort dinge steken eruit 
B: 	ja hebben hij dan ook nog zo'n klein pluk bovenop 
B: 	ja dan zijn het F 
B: 	ja dit zijn weer eigenlijk die met die neuspiercing met die met die bol neus en dan dat ding er doorheen pluimp bovenop 
A: 	ja die 
A: 	met dat dinge ook nog eruit steken 
A: 	oké dat zijn nummer vijf bij mij 
B: 	ja dat zijn dan A 
B: 	dit zijn weer die neuspiercing 
B: 	en als je alles in in wacht 
B: 	ja 
A: 	ik hebben nu die een met die zuignap 
A: 	dat bolle ervoor zeggen maar met die zuignap zo'n arm zo'n dinge eruit 
B: 	ja dat zijn dan H 
A: 	ja 
A: 	nummer vijf zijn dat bij mij 
A: 	ik hebben nu die een met die zuignap staan bij mij helemaal midden onderin 
B: 	ik krijgen nu de neurpiercing 
A: 	ja 
A: 	nummer vijftien zijn dat bij mij 
