B: 	ik hebben in principe een de de mok worden van zeggen maar van bovenaf filmen of fotograferen en dan 
B: 	hebben je een vierkan ervoor een uitsteeksel met twee plat vorm en twee blokkig uitsteeksel aan de linkerkant die taps toelopen 
B: 	ja 
A: 	ja 
A: 	en daarbovenop zo'n schoorsteent 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	dit zijn die dat beker met vierkan erop plakken 
A: 	aan de linkerkant die vierkant die steeds groot worden en het schoorsteent 
B: 	yes 
B: 	en er zitten dan aan zijd die blok die taps toelopen 
B: 	aan de linkerkant 
B: 	ja dat zijn bij mij G 
A: 	ja dat zijn nummer negen 
B: 	ik hebben de basisvorm van bovenaf bezien 
B: 	voor een vierkant 
B: 	bovenop een soort uitsteeksel met daar twee wat platt ronder vorm op en dan links twee blok yes 
A: 	schoorsteen vierkan aan de voorkant de vierkant die steeds groot worden aan de linkerkant 
A: 	en hij staan bij mij echt praktisch in het midden iets linksbof van het midden 
A: 	ja 
B: 	ja 
B: 	ja dat zijn bij mij nummer D 
A: 	en de 
A: 	die steeds groot worden 
A: 	nummer één 
B: 	ik hebben degeen met de het plat vierkant voor 
B: 	link zitten dan die twee ja block blok die dan taps toelopen met daarboven 
B: 	yes 
B: 	ja 
A: 	het schoorsteen vierkan erop en de twee groot worden vierkant 
B: 	ja 
B: 	ja 
B: 	D 
