A: 	ja 
A: 	en nog een heel klein dinge aan de linkerkant 
A: 	ja 
A: 	zeven 
B: 	deze hebben een soort van het lijken op een soort van tafel wat erin zitten er zitten waarschijnlijk een vierkant in het kop en die hebben twee poo 
B: 	links een heel klein uitstulpsel ik vinden het op een tafel lijken 
B: 	en er staan een soort van kommetje op of zoiets met een beetje fantasie 
B: 	ja 
B: 	ja 
B: 	ja toch 
A: 	Bovenin van het kop zitten een soort van plateautje en daarop staan een één ja lijken een beetje op een tafel die plateau en daarop staan een klein figuur 
A: 	ja 
B: 	ja ja dat zijn c 
A: 	even kijken 
A: 	omgekeerd 
A: 	ja ja ik hebben hem zestien 
B: 	de tafel met een bakje erop 
A: 	een tafel bovenin met zo'n op de kop piramide 
B: 	ja dat zijn e 
B: 	de tafel met het het komme erop 
A: 	ja 
A: 	elf 
B: 	tafel en het bak tafel en het bak waar zijn je waar zijn je 
B: 	daar dat zijn I 
A: 	tafel bovenaan en daar staan één op de kop een piramide op 
