A: 	deze hebben een groot driehoek bovenop 
A: 	zeggen en hij lijken een beetje rond te opgaan zeggen maar een kegel 
B: 	ja 
A: 	en aan de linkerkant zitten er een soort van kogel 
A: 	ook een kegel zeggen maar 
B: 	ja 
B: 	ah okee 
A: 	en dan linksonder zitten zo'n cirkel 
B: 	ja 
B: 	wachten en dan en dan hebben je rechts nog zo'n 
A: 	en dan en rechtsvoor zo'n groot blok 
B: 	ja precies 
A: 	ja 
B: 	ja l 
B: 	deze zijn met die driehoek op de bovenkant 
B: 	beetje ja driedimensionaal driehoek aan de bovenkant 
A: 	ja 
A: 	ja 
B: 	bij zo'n scheef blok aan de voorkant staan 
A: 	ja en dan zo'n kegel aan de linkerkant die eruit steken 
B: 	ja 
B: 	ja 
A: 	okee dat zijn veertien 
A: 	dit zijn weer die die driehoek bovenop zeggen maar die kegel die dimensionaal met dat groot raar blok aan de voorkant 
B: 	ja 
B: 	ja ja ja en dat schotel onder 
A: 	ja 
B: 	ja 
B: 	dat zijn k 
B: 	dit zijn met die driehoek op de bovenkant 
B: 	en dat blok aan de voorkant 
A: 	ja negen 
A: 	dit zijn weer met die driehoek erbovenop en dat raar groot blok rechtsvoor 
B: 	ja 
B: 	ja 
B: 	dat zijn h 
B: 	dit zijn dat driehoek 
B: 	dat driehoek op de bovenkant en dat raar blok 
A: 	ja een 
