B: 	ja deze hebben eigenlijk bovenop liggen er een soort een een een staaf of een blok liggen er echt bovenop liggen 
B: 	en aan de zijkant steken een beetje een een één ja rond vormig ding uit worden steeds groot 
A: 	liggen ja ok 
B: 	volgens mij zitten die ook nog aan de ander kant maar dat vallen net ergens achter en dan hebben je een soort veegje met een met een buisje er in die rechtop staan 
A: 	ja 
A: 	staaf ja dat zijn dan nummer acht 
A: 	ja dit zijn eigenlijk ja met met dan zo'n balk bovenop en aan aan de zijkant hebben hij een klein smal 
A: 	rond wat dan opeens wat groot worden en aan de voor en achterkant hebben hij dan ja rond wat langzaam weer ja dat buisje wat langzaam groot worden ja 
B: 	ja 
B: 	en bij dat met dat buis of zo met dat met dat dinge waar het op staan ja dat zijn dan E 
A: 	ja 
B: 	ja dit zijn diegene die dat balk bovenop hebben maar die dan liggen en weer dat dinge aan de zijkant dat rond zijn en groot worden 
B: 	en dan nog dat balk dat ergens op staat en aan de ander kant ook zoiets 
A: 	ja 
A: 	ah ok ok dat zijn dan nummer één 
A: 	ja dit zijn die raar weer met die met zo'n balk bovenop en dan aan de zijkant hebben hij dan zo'n smal ding die langzaam bred gaan en hebben hij ook aan de achterkant aan de zijkant ook ja 
B: 	ja 
B: 	ja dat zijn dan E 
B: 	ja dit zijn diegene waarbij die balk plat erop liggen die cirkel aan de zijkant die steeds groot worden die aan beide kant zitten en dan dat buisje nog dat er aan vast zitten 
A: 	ja ja en 
A: 	dat zijn dan nummer zestien 
A: 	ja dit zijn die dan die balk die er bovenop liggen en dan aan de zijkant achter en voor hebben je smal naar breed 
A: 	en aan de zijkant hebben je nog een ah cirkel en dan worden het bred 
B: 	ja 
