B: 	het zijn eigenlijk een soort van het het het zijn een soort van tafel dat door het midden van van de van de bovenkant van de van het dinget gaan 
B: 	en daar op dat tafel aan de rechterkant zitten een soort van bak komme 
B: 	en niet echt een rond komme 
B: 	het hebben twee het hebben dus een soort van uitsteeksel aan de voorkant en het gaan door het voorwerp zelf heen 
B: 	en aan de voorkant zitten dan twee soort van tafelpo lijken het wel of twee van die staaf die naar beneden wijzen 
A: 	en één zitten zeggen maar voor het object en één zitten er rechts naast 
B: 	ja één er ja ja kloppen 
A: 	negen 
A: 	ik hebben die ja dat dat ding wat door het voorwerp heen gaan met die twee poot één daarvoor en één er rechts naast 
B: 	ja waar zitten hij 
B: 	l 
A: 	die tafel 
B: 	ik hebben dat tafel met het bak 
B: 	die 
A: 	de waar we één één poot ervoor staan één poot erlangs 
B: 	ja ja ja één poot ervoor één poot erlangs 
A: 	zes 
A: 	ik hebben die tafel met één poot ervoor en één poot erlangs 
B: 	ja 
B: 	waar zitten die 
B: 	o 
B: 	okee ik hebben dat tafel met die een poot ervoor en de een ander poot aan de rechterkant 
A: 	ja 
A: 	ja elf 
A: 	de tafel met één poot ervoor en één poot erlangs 
B: 	ja e 
