B: 	dit zijn er één met een soort lang voetstuk onder het pot 
B: 	met een driehoek en dan zo'n buisje en dan nog 
A: 	die een beetje zo 
B: 	ja een beetje draaien kronkellen 
A: 	ja 
A: 	oké dan weten ik welk het zijn 
B: 	ja 
A: 	nummer vier 
A: 	ja dit zijn eigenlijk die hebben we ook al hebben weten je wel ? met die lang eigenlijk soort wijnglas scheef wijnglas als je het zo bekijken 
B: 	ja op dat voetstuk 
A: 	ja op dat voetstuk 
B: 	ja 
B: 	dan zijn het A 
B: 	dit zijn weer met dat dat wijnglas 
A: 	ah ja dat zijn nummer tien 
A: 	dat zijn dat wijnglas 
B: 	oké 
B: 	dat zijn L 
B: 	dit zijn dat wijnglas 
A: 	dat zijn nummer vier 
A: 	dit zijn dat wijnglas 
B: 	dat zijn F 
