A: 	deze ik vinden hem zelf een beetje lijken op een op een waterpomp 
A: 	ik noemen hem zelf de waterleiding want er gaan zo'n leidinkje in en die komen dan aan de ander kant lijken die er ook weer uit te aankomen 
A: 	en er staan zo'n blok voor 
B: 	ik noemen het de olifantenslurf met arm 
A: 	ja 
B: 	zitten een rond bolletje erop 
A: 	ja 
B: 	ja en twee armp of twee stijfjes inderdaad die zo zitten en dan 
A: 	ja ja ja ja 
A: 	ja 
B: 	ja 
A: 	ja die 
B: 	dan zijn het geel 
A: 	moeten je wel eerst zeggen welk nummer 
B: 	D zijn het 
B: 	excuus d nu dit 
B: 	ik denken dat ik hem moeten indrukken sorry 
B: 	nou zijn ze allemaal weer veranderen dit worden leuk 
A: 	ja 
B: 	we hebben het hier over zeggen maar jou loodgieter jouw 
B: 	waterboiler zeggen maar dus dat er iets in gaan en aan de ander kant er weer uit en een soort van tap aan de onderkant ik noemen het de olifant met de slurf en gek armp er zitten een bolle erbovenop 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ik weten welk je bedoelen 
B: 	ja 
A: 	met met zo'n raar met zo'n met dat blok ervoor 
B: 	ja helemaal ja 
A: 	ja 
A: 	dat zijn Numero vijftien 
A: 	dit dit zijn zijn met die waterleiding mijn pomp 
B: 	ja 
B: 	mijn olifant toch ? met dat rond erbovenop 
A: 	ja 
B: 	dan gaan het om L 
B: 	dit zijn de boiler zeggen maar met de pijp en de tap 
A: 	ja ik gaan hem even opzoeken 
B: 	ik noemen het de olifant 
A: 	dat zijn Numero zes 
A: 	ja mij mijn waterding 
A: 	mijn waterleiding 
B: 	ja dat worden dan J 
A: 	pomp 
B: 	dit gaan om de waterpijp met de slurf 
B: 	en het gek bolle Erboven 
A: 	je bedoelen ja ja de waterleiding ja 
B: 	de waterboiler zeggen maar ja 
A: 	Numero drie 
