B: 	ja deze hebben eigenlijk een soort plateau op zich heen en het zijn niet onderop het zijn net iets veel richting het midden 
B: 	en er eindigen een soort glijbaan ook op dat plateau of zo twee van die staaf bovenop 
B: 	ja 
A: 	nu hebben jij weer die vierkant toch 
A: 	ja ja ik vinden dat een beetje op een tutu lijken maar ik weten ook wel 
A: 	ja 
A: 	ja 
A: 	met zo'n slurf hebben die ook nog 
A: 	en zo'n soort van 
A: 	ja 
A: 	ja oké dat zijn zes 
B: 	ja 
B: 	ja dat zijn dan C 
B: 	dit zijn weer dat plateau waar die die glijbaan of zo lijken het wel een beetje op uitkomen twee van die staal bovenop en dan nog zo'n ding met een hoek hoek erin 
A: 	dit zijn die met die tutu weer 
A: 	met die plaat er dwars doorheen 
A: 	ja 
A: 	ik met mijn vierkant 
A: 	even kijken horen waar zijn die 
A: 	ja 
A: 	ja 
A: 	dat zijn dertien 
B: 	ja ik zijn hem even aan het zoeken ja 
B: 	helemaal goed ja dat zijn dan J 
A: 	dit zijn weer die tutu 
A: 	met die slurf 
B: 	nee bijna verkeerd knop 
B: 	ja dit zijn weer dat plateau met die soort glijbaan die twee staaf bovenop en ja 
A: 	ja dat zijn negen 
B: 	ja dat zijn N van Nico 
A: 	dit zijn weer die tutu 
