B: 	ja ik denken dat ik wel weten wat je bedoelen een soort van ouderwets spijker die 
B: 	ja 
B: 	ja of een naald 
B: 	ja ja ja in ieder geval ja 
B: 	dat zijn dan voor mij de letter L 
A: 	ja hier hebben ik een soort 
A: 	of Pacman wat zeggen ik nu een drukper in zien weer die ovaal vorm met eigenlijk een soort plank eraan een rond plank 
A: 	en dan wel in de vorm van een Pacman zitten er aan de ander zijkant weer aan 
A: 	en daar zitten een pin in 
A: 	alsof je die pin zo eigenlijk naar je toe willen draaien 
A: 	ja 
B: 	dit zijn het plaa met het 
B: 	kop met het rond schotel aan de zijkant die uitsteken en die ouderwets spijker die van boven naar beneden komen 
A: 	oké 
A: 	die drukper 
A: 	ja 
A: 	dat zijn nummer zeven bij mij 
B: 	ja 
B: 	dat zijn C voor mij 
A: 	dit zijn de drukper 
A: 	dus met de plank 
A: 	en die je zo kunnen trekken 
B: 	even kijken 
B: 	dit zijn weer die met die met dat tafel die eruit steken als het zijn en die ouderwets spijker 
B: 	ja die ouderwets spijker waar aan de rechterkant dat rond tafel als het zijn uit steken 
A: 	de drukper 
A: 	ja 
A: 	dat zijn nummer één 
B: 	ja dat zijn A 
A: 	dit zijn de drukper dat zijn met de staaf die 
B: 	exact hetzelfde plaa maar dan met een groot spijker 
B: 	en het rond plateautje wat eruit komen 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer dertien 
