B: 	ja ja die ja die eigenlijk het hoog zijn van bijna van al 
B: 	ja okee 
B: 	n 
B: 	ja 
B: 	ik hebben dat heel langwerpig pijl weer die Linksbovenin 
B: 	die eigenlijk het hoog zijn van alles 
A: 	nou deze hebben een soort van plateau aan dat kop vast als het zijn 
A: 	en aan de dat zijn aan de rechterkant 
A: 	en aan de linkerkant hebben hij ook een gek uitsteeksel met nog een gek uitsteeksel daar bovenop 
A: 	ja precies 
A: 	ja 
A: 	oké ja dat zijn even zoeken vijfteen 
B: 	ja p 
B: 	die ik hebben die die die pijl die heel hoog zitten Linksbovenin 
A: 	oké ja dit zijn weer met zo'n tafel er naast 
A: 	ja precies 
B: 	ja I 
A: 	nu hebben ik niks ook niets 
A: 	sure ja oké ja nee duidelijk 
A: 	nee ja nee tuurlijk dat zijn zeggen maar 
A: 	maar zijn ik nu dan of 
A: 	want ik hebben geen ding aangekruist 
A: 	dit zijn weer de tafel sure 
A: 	dit zijn het tafel 
A: 	oké ja even zoeken acht 
B: 	dat dat dat wijsding dat linksbof helemaal hoog uitsteken 
B: 	ja het hoog ding ja 
A: 	ja dit zijn weer met dat tafel 
A: 	oké dertien 
