Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	arm aan de zijkant	8	A	15, 22
2	4	de arm en de	8	A	14, 21
2	3	een soort van	15	A	0, 14
2	3	er midden voor	16	A	0, 15
2	3	ervoor en het	12	A	10, 21
4	2	dat zijn	26	A	1, 13, 20, 26
3	2	arm en	22	A	0, 14, 21
3	2	de arm	12	A	10, 14, 21
3	2	midden voor	16	A	0, 14, 15
3	2	zeggen maar	8	A	15, 21, 22
2	2	dit zijn	8	A	14, 21
2	2	ei erbovenop	8	A	14, 21
2	2	en een	15	A	0, 14
2	2	het plaat	15	A	0, 14
2	2	met de	5	A	10, 14
2	2	twee arm	16	A	0, 15
7	1	zijn	27	A	0, 1, 13, 14, 20, 21, 26
5	1	de	13	A	10, 14, 15, 21, 22
5	1	ja	25	A	1, 4, 10, 12, 25
3	1	ei	12	A	10, 14, 21
3	1	paal	22	A	0, 19, 21
3	1	soort	15	A	0, 10, 14
2	1	balk	2	A	14, 15
2	1	die	20	A	0, 19
2	1	er	16	A	0, 15
2	1	oké	13	A	0, 12

