B: 	dit vinden ik een helikopter 
B: 	maar dan met een soort ja schilderij of televisiescherm aan zijn rechter zijde 
B: 	hij hebben twee van die van die vierkant die steeds groot worden aan de linkerzijde en dan bovenop zo'n antenne 
A: 	oké ja 
A: 	dat zijn een groot vierkant aan de voorkant zeggen maar 
B: 	ja 
A: 	oké dat zijn twee 
A: 	deze noemen jij volgens mij een helikopter met een televisiescherm aan de zijkant 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn die helikopter met het televisiescherm 
A: 	dat zijn negen 
A: 	dit zijn de helikopter met dat scherm 
B: 	ja dat zijn D 
B: 	de helikopter 
A: 	dat zijn één 
A: 	dit zijn de helikopter 
B: 	ja B 
