B: 	oké 
B: 	even kijken deze hebben bovenop een een soort rechthoekig balkje liggen 
B: 	bijna over de heel lengte en ja link hebben die een soort van ja waar kunnen je het mee vergelijken ? een soort muilkorf voor een hond eraan hangen 
B: 	ja bezempje onder zijn arm aan de ja 
B: 	aan de ander kant ja 
A: 	ja ja heel stokstijf vinden ik hem staan want die hebben een balk 
A: 	een 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	ik weten welk je bedoelen ja 
B: 	dat zijn voor mij E 
A: 	ja dat zijn met die hanenkam 
A: 	die beker die omdraaien zitten en die hand die zo'n paal omhoog hebben 
B: 	dit zijn weer die met het bezemp en het balk bovenop 
A: 	ja 
A: 	die stokstijv met die hanenkam 
A: 	dat zijn nummer één 
B: 	schoonmaakrobot 
B: 	ik vinden hem goed vinden dat zijn E voor mij 
A: 	dit zijn het poppe met de hanenkam en die ja spastisch met het 
B: 	even kijken het hoe zeggen je dat nou ? het schoonmaakrobo met bezemp 
A: 	met die hanenkam weer 
A: 	ja 
A: 	nummer zestien 
B: 	die moeten ik weten dat zijn O 
A: 	dit zijn het poppe die het staafje zo vasthebben en met de hanenkam 
