B: 	deze hebben twee van die kasteelt aan de linkerkant erin en een vierkant aan de voorkant 
B: 	en nog een soort van paddenstoel aan de bovenkant 
A: 	ja dan zijn het twee 
B: 	oké 
A: 	dit zijn die met die twee torent aan de zijkant erin en die paddenstoel bovenop 
A: 	en dat plat ding nog aan de voorkant 
B: 	wachten even even kijken 
B: 	twee ding ja die paddenstoel ja ja ja 
A: 	ja 
B: 	oké die torent aan de zijkant 
A: 	ja 
B: 	oké dat zijn G 
B: 	oké dit zijn diegene met die twee torent aan de zijkant en die paddenstoel erop 
A: 	ja oké 
A: 	dat zijn negen 
B: 	oké 
A: 	ik hebben die met die twee kasteelt en die paddenstoel 
B: 	ja 
B: 	ja met nog één ding ervoor toch 
A: 	ja 
B: 	ja oké ja dat zijn D 
B: 	ik hebben diegene met die paddenstoel en die twee torent erin en één plat ding aan de voorkant 
A: 	ja dat zijn één 
A: 	dit zijn die met die paddenstoel en die torent 
B: 	ja even zoeken 
B: 	ja dat zijn B 
