A: 	ja ja ja 
A: 	en aan de achterkant zo'n nog zo'n 
A: 	ja 
A: 	ja ja ja precies 
A: 	dat zijn zestien 
B: 	ja dit moeten mij een beetje denken aan zeggen maar een plank wat dan ophangen zijn waar 
B: 	zeggen maar gat in zitten waar een pan in kunnen en dat zijn dan dat rond ding en dat er nog een bak op staan 
B: 	wo 
B: 	o 
B: 	o wat een fijn gelukkig 
B: 	ok bij mij O 
B: 	dan moeten jij klikken 
A: 	ja dit zijn dit zijn die emmer weer met dat met dat plateau en dat bak en die twee poo eronder 
A: 	en aan de achterkant die ronde 
B: 	o die ja dat zijn P bij mij 
B: 	ok 
A: 	ja ja 
A: 	even kijken waar staan die 
A: 	daar 
A: 	ja precies dat hebben ik ook 
A: 	veertien hebben ik daar 
A: 	veertien 
B: 	o dit zijn weer dat plank met die pan er in 
B: 	ja 
B: 	ok bij mij P 
B: 	echt telkens automatisch 
A: 	ja dit zijn weer dat tafel met die met dat bak erbovenop 
A: 	tafel met bak 
A: 	tien 
B: 	die N 
B: 	dan moeten ik klikken ja 
B: 	dit zijn het plank met de pan 
B: 	ah 
B: 	ok bij mij I 
A: 	ja dit zijn de tafel met dat bak 
B: 	ok 
B: 	o daar D 
