A: 	ja zes 
B: 	deze hebben aan de linkerkant twee arm die hetzelfde figuur hebben en dat zijn zo'n vierkan met blok die steeds klein worden 
B: 	en aan de bovenkant hebben hij een soort spijker op zijn hoofd 
B: 	en rechts een groot vierkant 
B: 	ja 
A: 	hier zijn het vierkant vlak voorop en de verrekijker 
B: 	zo'n plakkaat 
B: 	ja 
A: 	een 
A: 	verrekijker en een plat vlak vierkant vlak 
B: 	ja 
B: 	ja ik zien hem al 
B: 	ja dat zijn f 
A: 	twaalf 
B: 	dit zijn met de de twee oog naar link kijken Spijker in zijn hoofd en plat vierkant rechts 
A: 	vlak en de verrekijker 
A: 	verrekijker 
A: 	en de vierkant vlak rechts 
B: 	ja g zijn dat 
B: 	dit zijn met de twee oog naar link die groot pixeliseren en de spijker in zijn hoofd 
B: 	en het vierkant 
B: 	ja m 
