A: 	ja ik hebben bij deze ik denken iets van een een cactuspot of zo 
A: 	in ieder geval je hebben dan wat je over over hebben die basis zeggen maar en dan zitten er één dinge in 
A: 	en dan uitsteken er aan de zijkant nog twee uit en nog voor één uit 
A: 	en dan zijn het twee van die ovaal ding die ja een soort kegelachtig 
A: 	en dan aan één zijkant zitten wat ja lompig 
B: 	zijn het van die blok die steeds groot worden aan één kant aan de voorkant zeggen maar rechts 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en dan aan dat ander kant zitten nog zo'n uitsteeksel 
B: 	ja 
B: 	ja dan zijn het E 
B: 	ja 
B: 	deze hebben midden bovenaan een soort van vlammetje dat kegel 
B: 	dan rechts die blok 
B: 	link zo'n soort van kegel en naar achteren zijn ook nog een soort van raar armp 
A: 	even kijken 
B: 	dat vlammet staan zeggen maar er recht bovenop 
A: 	en dan met die blok dat dat na en dan 
B: 	ja aan de rechterkant en links nog twee van die raar ding 
A: 	ja oké 
A: 	nummer elf 
A: 	dit zijn die die wat ik op zo'n cactus plaatsvinden lijken 
A: 	met die kegel boven en dan die blok aan de zijkant rechts die iets groot worden 
A: 	en dan nog zo'n armp links en nog zo'n kegel vooruit 
B: 	ja die raar ja 
A: 	ja die raar 
B: 	ja 
B: 	J 
B: 	dat zijn die cactus met die blok aan de zijkant en vlamme omhoog 
A: 	ja 
A: 	nummer negen 
A: 	die cactusplant 
B: 	met die blok aan de rechterkant 
A: 	ja 
B: 	ja B 
B: 	de cactus 
B: 	met die blok aan de rechterkant 
A: 	ja nummer vier 
