B: 	ja dit lijken eigenlijk een beetje een soort van op een hond die helemaal zo in de grond aan het eten zijn of zo die hebben een staart op het 
B: 	op het lijfje zitten met een rond dop en dan twee poot aan de zijkant en dan nog een vlak aan de zijkant 
A: 	oké wachten even hoor 
B: 	dus hij hebben op de bovenkant hebben die een soort van spijker of schroef lijken het wel 
A: 	je moeten hem zo links draaien 
B: 	ja ja 
A: 	dus hij hebben inderdaad twee poot maar en dan zo'n vierkant ding aan de zijkant 
B: 	twee poot 
B: 	ja 
B: 	ja 
A: 	ah ja oké 
A: 	dan zijn het twee 
A: 	dit zijn dat een hond maar dan kantelen 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn dat omgekeerde hond 
A: 	ah ja 
A: 	even kijken 
A: 	ah nummer negen 
A: 	dit zijn dat kantelen hond 
B: 	oké 
B: 	dat zijn D 
B: 	dit zijn dat omgekeerde hond 
A: 	zijn nummer één 
A: 	dit zijn dat kantelen rond 
B: 	oké 
B: 	dat zijn B 
