B: 	het plaat hebben een rond schijf aan de achterkant 
B: 	en een soort stuk van een kegel bovenkant uitsteken 
B: 	en aan de linkerkant een soort zeshoek 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat 
B: 	ja kloppen 
A: 	hebben die aan de linkerkant ook een soort staafje ound 
A: 	en rechtsboven een een fliep om het maar even zo te noemen 
A: 	ja dan weten ik welk je bedoelen 
A: 	nou moeten ik het nummer zeggen toch 
A: 	dat zijn dertien 
A: 	deze hebben een soort voetstukje waar die op staan er zitten een uitsteeksel aan de onderkant 
A: 	en een half cirkel die je zo aan de achterkant zien 
A: 	en dan nog één zo'n dinge Bovenin 
A: 	en nog een dinge links ja 
B: 	ja 
B: 	een schijf die je zo half zien en dat dinge zo aan de onderkant 
B: 	die bedoelen je 
B: 	ja 
B: 	oké dat zijn O 
A: 	en boven ook zo'n uitsteekselt 
A: 	oké dat zijn bij mij achten 
B: 	dit zijn die met een uitsteeksel aan de bovenkant en een schijf die je half zien aan de achterkant 
B: 	en dan links een soort zeshoek die uitsteken en onderaan weer dat ja halfronde 
B: 	ja 
B: 	ja daar lijken het wel een beetje op inderdaad 
A: 	dit zijn weer die met dat dinge aan de onderkant 
A: 	en dan die half schijf aan de achterkant die je kunnen zien 
A: 	met het plateaut 
A: 	wachten 
A: 	voetstukjeten 
A: 	ja ja 
A: 	dat dinge eronder en dat ding ja oké 
A: 	dat zijn zeven 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
A: 	dit zijn die met het stuk aan de onderkant en dan de half cirkel aan de achterkant 
A: 	Hallo 
B: 	dit zijn die keukenmachine 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	Hallo 
