B: 	ok dit zijn één die ik eigenlijk in mijn hoofd omschrijven als eineus 
A: 	ei neus o dat zijn gewoon die indiaan zonder piercing 
B: 	ja precies dit zijn inderdaad inderdaad het precies dezelfde eigenlijk maar dan zonder die piercing er doorheen en zo'n soort kegel omgekeerd op zijn hoofd 
A: 	ok 
A: 	jajaja 
A: 	dan weten ik het al 
A: 	ja 
B: 	ok dan hebben we daar dezelfde 
A: 	jaja met dat met zo'n uitsteeksel bij zijn oor en dan nog jaja ok ok ja veertien 
B: 	ja ja ja ja precies 
A: 	ok die indiaan zonder neuspiercing 
B: 	even kijken zonder neuspiercing a ja met die kegel op zijn hoofd en dat soort driehoek aan de zijkant ja 
A: 	ja jaja 
B: 	o N 
B: 	indiaan zonder piercing 
A: 	hij ik zien hem 
B: 	dus de Eineus 
A: 	ja 
A: 	o negen negen je sorry 
B: 	nou het zullen wel goed zijn 
A: 	ik zeggen 
A: 	ok 
A: 	indiaan zonder piercing 
B: 	even kijken ja met die kegel op zijn hoofd of ja met die 
A: 	met vulp of zo en dat ding 
B: 	vulpen ja vinden ik een goed G 
A: 	dat moeten jij doen o 
B: 	indiaan zonder piercing vulpen op zijn hoofd 
A: 	ok vulpen indiaan vijf 
A: 	dus moeten ik doen duwen 
A: 	indiaan zonder piercing 
B: 	J 
