B: 	okee het zijn zeggen maar je hebben het kop en dan zitten er rechtsboven zitten er een soort van hoe heten het een druppelvorm 
B: 	en daarachter zitten een soort van zitten een rond zeggen maar die komen er net bovenuit voor de helft 
A: 	ja 
B: 	en onderaan zitten zitten een soort van verlengstuk van het kop 
A: 	ja 
B: 	en dan zitten links zitten een soort van ik denken iets van een zeshoek die dan langwerpig erin gaan aan de linkerkant 
A: 	ja 
B: 	ja 
A: 	ja volgens mij weten ik welk het zijn vijf 
B: 	hebben je hem 
B: 	okee 
A: 	eens even zien 
A: 	dit zijn dat kopvormp met aan de achterkant dan die cirkel die er net bovenuit opsteken 
A: 	en dan de druppelvorm aan de bovenkant van het kop 
B: 	ja 
B: 	en nog zo'n gek vorm die er aan de rechterkant in zitten 
A: 	aan de aan de linkerkant zitten een 
B: 	linkerkant inderdaad ja je hebben gelijk 
A: 	ja daar zitten een balk 
A: 	en onderaan lopen het kop door 
B: 	ja e 
B: 	dit zijn degeen met zeggen maar een rond die erachter uitkomen zeggen maar en dan aan de rechterkant zitten er een soort druppelvorm in 
A: 	ja 
B: 	en dan aan de linkerkant nog een soort staaf die eruit komen 
A: 	ja en aan de onderkant zijn hij 
B: 	ja ja die 
A: 	ja ja een 
A: 	dit zijn die met de het schotel erachter 
A: 	die dus eigenlijk half er overheen komen 
A: 	en de druppelvorm rechtsboven 
B: 	ja en dan nog een balk aan de linkerkant ja 
A: 	ja 
B: 	c 
B: 	dit zijn degeen met het rond wat er aan de achterkant half bovenuit komen 
A: 	ja 
B: 	en de druppelvorm 
A: 	ja de druppelvorm vier 
A: 	dit zijn die met die cirkel erachter die er half bovenuit komen 
B: 	ja en de druppelvorm 
A: 	en de druppelvorm rechtsboven 
B: 	yes f 
