B: 	ja ik vinden het ik wat het zijn 
B: 	er zitten aan de linkerkant twee van die blok die of steeds groot worden of steeds klein worden afhankelijk van hoe je het zien 
B: 	en een groot vierkant plaat aan de voorkant en een antenne 
A: 	even ja ja ja ja ja ja ja ja 
A: 	toppie twee 
A: 	dit zijn diegene met die antenne vierkant van voren en die twee vierkant aan de rechterkant 
B: 	die klein worden 
A: 	die klein worden ja 
B: 	ja precies 
B: 	G 
B: 	dit zijn weer met die antenne bovenop en die vierkant plaat ervoor en dan de vierkant die groot worden 
A: 	ja die twee aan de ja oké dat zijn negen 
A: 	oké dit zijn diegene met de antenne het vierkantje van voren en die twee vierkant die telkens klein worden aan de zijkant 
B: 	oké 
B: 	d 
B: 	dit zijn weer met die die klein worden blok helemaal links 
B: 	twee 
B: 	en dan zo'n vierkant plaat voor en een antenne bovenop 
A: 	ja ja ja dat zijn één 
A: 	dit zijn degeen met de antenne vierkant van voren en twee vierkant die klein worden aan de 
B: 	ja 
B: 	B 
