A: 	ja 
A: 	ja dat denken ik wel 
B: 	ok dit zijn zeggen maar dat 
B: 	ja blauw dingetje met ja mij doen het een beetje denken aan pinoccio zeggen maar zo'n neus recht naar voren en één zo'n pluimp zeggen maar op het hoofd 
A: 	oké maar zitten er ook nog iets bovenop 
A: 	zo'n pluimp bovenop 
B: 	ja ja ja 
A: 	ja 
B: 	ok ja bij mij zijn het G ik weten niet of ik dat nog moeten zeggen maar ja 
A: 	ja en dan zo'n zeskantig staaf aan de linkerzijkant 
A: 	ja 
B: 	ja volgens mij wel ja 
A: 	dat zijn dertien 
A: 	ja dit zijn die emmer met aan de achterkant dat rond 
A: 	aan de linkerzijkant zo'n zeshoekig staaf en dan boven 
B: 	ja 
B: 	o die o die mij dan doen denken aan die pinoccio een beetje 
B: 	ja ja ja ja dat zijn bij mij O 
B: 	ok 
A: 	ja met die zeshoekig staaf aan de en 
A: 	ja precies 
A: 	dat zijn acht 
B: 	nee 
B: 	dit zijn bij jou lijken het een beetje op een cocktail met citroen en bij mij zijn het beetje pinoccio 
B: 	ja 
B: 	ok bij mij N 
A: 	ja dit zijn dat rond aan de achterkant 
A: 	die zeshoekig staaf aan de linkerzijkant 
A: 	ja dat rond achterop 
A: 	met die zeshoekig staaf 
A: 	ja dat zijn zeven 
B: 	o die C 
B: 	dit zijn de cocktail en pinoccio 
B: 	ok bij mij N 
A: 	ja dit zijn die dat rond aan de achterkant en die zeshoekig staaf aan de zijkant 
A: 	ah 
A: 	oké 
B: 	even kijken waar die zijn o hier C 
B: 	o bedanken voor de deelname nu komen het volgen keer 
