A: 	okee wel ja 
A: 	je kennen de zeppelinfiguur wel 
B: 	ja 
A: 	er opsteken er één aan de bovenkant uit en één een beetje link naar voren 
A: 	aan de rechterkant hebben je vanaf het kop een klein vierkantje nog een groot vierkantje nog een groot vierkantje die zo uitsteken 
B: 	een beetje als legoblok 
A: 	ja precies maar dan worden die steeds groot 
A: 	en dan ergens linksachter nog een raar uitsteeksel 
A: 	ook een soort cilindervormp 
B: 	ja 
A: 	dus ja 
B: 	ja 
A: 	beetje een idee 
B: 	dan denken ik dat ik hem wel weten ja 
A: 	okee 
B: 	ik gaan voor i 
B: 	ja 
B: 	Hee hebben wij deze niet al doen ? zitten ik te denken 
A: 	nieuw ronde 
B: 	misschien moeten we nog een keer 
A: 	ja 
B: 	ja moeten we of allebei apart uitleggen 
B: 	bij dit kop zitten er aan de rechterkant een soort van legoblok oor 
B: 	waarbij die ook groot worden 
B: 	je hebben linksvoor hebben je een soort zeppelinneus waar je het toen ook over hebben 
B: 	bovenin zitten ook een zeppelinlepel 
A: 	ja 
B: 	en je hebben nog een ander uitsteeksel 
B: 	weten je dan welk ik bedoelen 
A: 	ja en dan rechts die legoblok die steeds groot worden en dan achteraan nog een een gek uitsteeksel 
B: 	ja 
B: 	ja 
B: 	gek uitsteeksel 
A: 	ja 
B: 	ja 
A: 	dan gaan ik voor nummer zeven 
A: 	okee dit zijn ja dit zijn het kop met de twee zeppelinfigur één aan de bovenkant één beetje link naar voren 
B: 	ja 
A: 	aan de rechterkant weer die legoblok die uitsteken en linksachter een beetje zo'n gek staart 
B: 	ja 
B: 	nou dat zijn voor mij b 
B: 	denken weer aan zeppelinvormen 
B: 	zeppelinneus zeppelinlepel 
B: 	aan de rechterkant legoblok 
A: 	ja 
B: 	en nog een ander uitsteeksel 
A: 	ja nummer vijf 
A: 	dit zijn die een met die zeppelinfigur bovenkant en linksvoor 
B: 	ja 
A: 	rechts de legoblok die uitsteken en dat raar ding 
B: 	dat zijn g 
B: 	zeppelinvorm vooraan en bovenop en legoblok aan de rechterkant 
A: 	ja nummer zeven 
