B: 	oké deze zijn uitzien er heel anders uit dan de rest dit 
B: 	deze hebben helemaal hij staan op een plat plateau en hebben boven aan beide kant drie van die soort rond diamantjesachtig ding 
A: 	ja dan weten ik denken ik al wel wat je welk je bedoelen er zitten een rond voor nog 
B: 	ja en die hebben 
B: 	ja precies 
A: 	ja 
A: 	oké dan zijn het nummer vijf 
A: 	even kijken hoor ja dit zijn die enig met die hij hebben drie driehoekje die er links uitsteken en drie driehoekje die er rechts uitsteken en hij staan op een plateau 
B: 	ja 
B: 	oké 
B: 	ja 
B: 	dat zijn J 
B: 	oké dit zijn weer de drie kraalt zeggen maar die drie rechts en drie link zitten 
A: 	ja dan weten ik welk je bedoelen 
B: 	ja 
A: 	met het rond plateau aan de voorkant 
B: 	ja 
A: 	ja 
A: 	dat zijn elf 
A: 	dit zijn met die uitsteeksel links en rechts die drie driehoek 
B: 	ja oké 
A: 	dus links drie en rechts drie 
B: 	dat zijn P 
B: 	drie diamant druppeltje aan de bovenkant die links en rechts zo 
A: 	met dat rond plateau ervoor 
B: 	ja 
A: 	ja dat zijn nummer negen 
A: 	dit zijn de figuur met die drie driehoek aan de linkerkant die uitsteken en aan de rechterkant ook 
A: 	hij staan op een plateau dat zijn eigenlijk de enig die op een plateau staan 
B: 	ja 
B: 	L 
