A: 	oké en en ik hebben gewoon zestien dinget 
A: 	ja 
A: 	zitten er ook een lepeltje in 
A: 	en een soort cilinderachtig ding aan de zijkant 
B: 	oké ik hebben het rood vierkant hij hebben een een rond cilinder aan de naar de links kant toe het lijken wel op een gezicht dat naar links kijken 
A: 	ja 
A: 	hebben die ook een smal onderkant waar die op staan 
A: 	oké dan dan denken ik dat ik hem wel weten 
B: 	en hij hebben achterop hebben die een staart op het hoofd 
A: 	dat zijn nummer dertien 
B: 	ik weten niet of je dan weten welk het zijn 
B: 	en aan de rechterzijkant van zijn hoofd zullen die dan een een plat rond hebben 
B: 	het hoofd staan ook op een soort nekje of zo lijken het wel 
B: 	heel klein 
B: 	ovaal 
B: 	ja aan de achterkant zitten een plat rond dat zullen dan 
B: 	nee 
B: 	een een soort neus naar de voorkant 
B: 	een rond neusje 
B: 	en hij kijken zeggen maar naar links toe 
B: 	met een kegeltje als neus en dan zullen die op zijn aan de achterkant zitten een een plat schijf 
B: 	en een kuifje 
B: 	ja aan de bovenkant zitten een soort kegel ja zo'n bowlingkegeldinge 
B: 	niet zo heel groot 
B: 	nee 
B: 	nee nee nee 
B: 	hij hebben rechtsachter zitten zo'n soort een bowlingkegel maar dan op zijn kop zeggen maar 
B: 	die zien je wel op meerdere plaat maar en op de achterkant zitten een plat schijf 
B: 	en dan zitten aan de links kant zitten een een soort neusje 
B: 	ja 
B: 	dan mogen jij zeggen welk nummer 
B: 	oké 
B: 	ja 
B: 	ja die plat cirkel daarachter tegenaan 
B: 	ja dat zijn bij mij zijn dat O 
B: 	nieuw 
B: 	dit zijn die ik als allereer ook hebben met die rond plaat aan de achterkant en een balk naar link 
B: 	die op een nek staan 
A: 	ik hebben de het koffiekoekje 
A: 	met de smal onderkant 
B: 	het voe waar zijn het voe 
B: 	cilinder in de plat ronde aan de achterkant 
B: 	ja ja ja ja ja 
B: 	dat zijn bij mij C 
A: 	ze zijn weer veranderen 
A: 	dus 
A: 	ja 
A: 	het rond koek 
A: 	even kijken waar staan je ook alweer ? ja daar 
A: 	dat zijn nummer acht 
B: 	die ik als allereer hebben met het rond plaat aan de achterkant 
B: 	het kegelt rechts bovenop en 
B: 	ja 
B: 	dat zijn C 
B: 	best wel lachen 
A: 	het Ronde koffiekoekje 
A: 	ja 
A: 	ja een raar onderkant 
A: 	het rond koek 
A: 	hebbes 
A: 	nummer zeven 
A: 	koffiekoekje 
A: 	ja 
