A: 	oké deze hebben een soort van hoed op maar wat wel makkelijk zijn mischien aan de rechterkant hebben die twee rechthoeak die eruit steken 
A: 	en dan zitten er linksvoor een ook nog een uitsteeksel aan 
A: 	en linksonder ook nog 
B: 	hij hebben dus er zitten een soort een soort driehoek piramide bovenop 
A: 	ja er zitten zeggen maar een één 
A: 	ja een piramide bovenop waar alleen het punt van af zijn 
B: 	ja 
B: 	ja dat zijn waar het punt van af zijn 
A: 	ja want je hebben één dat zijn ook nog waar een een heel piramide op staat 
A: 	maar die deze hebben ook een piramide erop maar zonder punt dan dus eigenlijk ja geen piramide maar dan weten je misschien een beetje wat het zijn 
A: 	en twee rechthoeak die uitsteken 
B: 	ja 
B: 	ja die die aan de rechterkant twee rechthoeak en een soort spijker naar de linkerkant 
A: 	ja 
A: 	precies 
B: 	ja dat zijn I 
A: 	ja 
B: 	oké dit dit zijn die met die twee twee rechthoekje die aan de of ja zoals jij het noemen de piramide die niet zijn afmaken bovenop 
B: 	een soort spijker die er link uit komen en dan twee klein rechthoekje die rechts 
A: 	ja ja dan weten ik hem al 
B: 	dus ja 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	en dit zijn eigenlijk die piramide die niet af zijn maken die erbovenop staan 
A: 	met die twee rechter vierkant die uitsteken 
B: 	ja 
B: 	ja dat zijn M 
A: 	ja 
B: 	oké dit zijn de de de onafgemaakt piramide met de spijker aan de linkerkant 
A: 	ja dat zijn nummer negen 
A: 	dit zijn die piramide die erbovenop staat die niet afmaken zijn 
B: 	ja oké dat zijn F 
B: 	de het onafgemaakken piramide met de twee rechthoek aan de rechterkant 
B: 	spijkert link 
A: 	ja 
A: 	nummer zes 
