B: 	deze hebben een een spijker op de kop 
B: 	en een vierkant plaat aan de voorkant 
B: 	en twee blok aan de zijkant die steeds groot worden 
A: 	ja 
A: 	van die laseroogjes 
B: 	ja 
A: 	dat zijn twee voor mij 
B: 	oké 
A: 	dit zijn die met links de groot worden vierkant en een soort ja wat zitten erin ? Antennetje bovenop 
A: 	groot vlak aan de voorkant 
B: 	ja dat zijn voor mij G 
A: 	ja 
B: 	even kijken deze hebben dat anetenne aan de bovenkant en het vierkant vlak aan de voorkant en de groot worden blok aan de linkerkant 
A: 	en de blok yes dat zijn negen voor mij 
A: 	groot worden vierkant links 
A: 	Antenne bovenop 
B: 	ja 
B: 	dat zijn D voor mij 
B: 	dit zijn met de antenne het vierkant plaat en de twee wat groot groot worden vierkant 
A: 	ja dat zijn één voor mij 
A: 	dit zijn die met de vierkant plaat voorop en de groot worden vierkant links 
B: 	ja 
B: 	G 
