A: 	ok deze hebben een istek aan de zijkant 
B: 	met een soort van pion bovenop 
A: 	ja die afgesneden zijn of zo 
B: 	die die waar het top van mist dat zijn zijn dat nou een L of een I 
A: 	ja 
B: 	zitten er een I bij ? dat zijn een I 
B: 	deze hebben zegmaar een pilon en dan zijn dat bovenkan weer afsnijden en rechts twee blok eruit 
A: 	met dat istek 
B: 	ja dat ja precies 
A: 	ja 
A: 	twee 
A: 	deze met het isteken en dat afsnijden 
B: 	M 
A: 	ja 
B: 	pilonne wat zo aan de bovenkant zijn afgeknipt en twee vierkant dinge rechts de istek 
A: 	negen 
A: 	met dat istek en dat afgekapte hoed 
B: 	F 
B: 	half pilonne wat af zijn snijden aan de bovenkant istek 
A: 	zes 
