B: 	je hebben een bal voorop 
B: 	dan aan de zijkant een driehoektui 
B: 	en bovenop een rechthoekig handvat en een soort van penachtig iets 
A: 	ja zes 
A: 	deze hebben een bal voor op de emmer 
A: 	en dan een balk die recht omhoog gaan bovenop de emmer en link van die balk staan dat penachtig ding 
B: 	ja g 
B: 	deze hebben een bal voorop 
B: 	twee uitsteeksel bovenop één zijn rechthoek en ander soort penachtig 
A: 	de pen ja vier 
A: 	dit zijn die met die bal voorop en die pen bovenop 
B: 	ja k 
B: 	deze hebben de bal voorop en een pen en dat rechthoek bovenin 
A: 	ja vijfteen 
A: 	die pen bovenop 
B: 	where did it go ja n 
