B: 	nou 
B: 	d hebben ik omschrijven als ja de kralenketting zitten erbij 
B: 	en een soort zuignap op de voorkant 
B: 	en hij staan op een plateau 
A: 	aha deze zijn er niet doorheen zakken 
A: 	okee ja 
A: 	kraalt ja 
A: 	nou dan weten ik hem ook 
A: 	ik gaan voor elf 
B: 	ja 
B: 	dat zijn M 
A: 	ah deze zijn het plateau waar die echt op staat 
A: 	met de kraalt aan de achterkant erdoorheen 
A: 	en de kraantje en het rond daarvoor 
B: 	kralenketting bak 
B: 	ja B 
A: 	ja dat zijn nummer een 
B: 	kralenketting staan op het plateau 
A: 	nou deze zijn die op dat plateaut met die kraalt aan de achterkant 
A: 	en ja die dus 
B: 	O 
A: 	ja nummer zes 
A: 	kraal aan de achterkant staan op plateau 
