A: 	ja ik zijn ik weten niet waarom die hebben ik beschrijven als pinokkio maar dan ja het zijn 
A: 	nou het zijn het zijn een het hebben een heel lang neus zo maar aan de achterkant hebben het een soort van ruiten ruiten iets met een soort boek met twee vierkant blok ja 
A: 	ik vinden het een die neus Pinokkio en dat boek daar hebben ik nog iets ander bij zetten maar 
A: 	ja 
A: 	ja kloppen op zich ook wel een beetje ja 
B: 	met aan allebei de kant twee blokkentorens 
B: 	oké dan zijn het M 
A: 	ja 
A: 	ja ja ja ik noemen het pinokkio maar de boiler ja 
A: 	negen 
B: 	ja dit zijn ja ik zien het als een karatepoppe 
B: 	met aan de voorkant wel nog een soort Pinokkioneus 
B: 	die naar rechts gaan 
B: 	en aan de onderkant en aan de rechterkant een soort van buigen dinge 
B: 	ja 
A: 	pinokkio jij de boiler 
A: 	ja de boiler 
A: 	met dat ja met dat gek vierkant ding en de twee zeggen maar die vierkant ding aan de achterkant en 
A: 	ja dat boek bovenop ja precies 
B: 	Karate Kid waar staan Karate Kid 
B: 	ja 
B: 	dat zijn H 
A: 	de boiler 
A: 	ja dat zijn elf 
B: 	dit zijn Karate Kid poppe met het hoed ook wel 
B: 	ja 
A: 	dan zitten die wel goed 
A: 	de boiler 
B: 	Karate Kid staan dat zijn D 
A: 	de boiler 
A: 	die hebben we ah daar veertien 
B: 	karatepoppe 
B: 	ja hij staan bij mij helemaal links in het midden 
