B: 	even kijken 
B: 	dit zijn een mok met een twister eronder 
B: 	die twister die staan op een driehoekig blok 
B: 	zitten een vierkant blok rechts dan een klein blok in het midden 
B: 	en er zitten een soort van stamper aan de linkerkant 
A: 	ja dat zijn nummer vier 
A: 	dit zijn die een waar zo'n gedraaid staaf onderuit komen 
A: 	die waar een staat op een driehoek 
B: 	ja ja 
A: 	en dan een blok rechtsboven daarna nog een middelblok en zo'n ding 
B: 	klein blok in het midden 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	ja 
B: 	dit zijn de dit zijn die met die twist erin 
B: 	die een soort van hoe zeggen je dat ? Champions Leaguebeker die zo draaien zijn zeggen maar 
A: 	ja 
A: 	ja 
A: 	op die driehoekig standaard dan 
B: 	ja 
A: 	ja nummer tien 
B: 	ik willen zeggen dat zijn bij mij K 
A: 	deze zijn die die voetbaltrofee 
A: 	waar dat dat die op dat driehoek 
B: 	die twist 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	dit zijn de voetbaltrofee de Champion Leaguetrofee met de twist 
A: 	ja die staan dat zijn nummer vier 
A: 	dit zijn de voetbaltrofee 
B: 	ja dat zijn bij mij F 
