A: 	dit zijn een komme met aan de beide kant een uitstulpsel aan de een kant lang dan aan de ander kant die uitstulpsel zitten een beetje onderin en die hebben als uitein ook een soort ei 
A: 	en er zijn een soort plankje dat omhoog lopen met ook weer een soort van steun eronder 
A: 	okee 
B: 	waar die tegenaan leunen zijn link 
B: 	wat zijn leunen 
B: 	want 
B: 	ja 
B: 	dus hij staan scheef 
B: 	ik moeten het wel goed hebben hoor 
B: 	nou ik weten ik niet of ik het goed hebben 
B: 	zijn wat hij leunen zijn dat plat of zijn dat 
B: 	gewoon een vierkant 
B: 	met twee uitstulping , toren zoals jij dat zullen noemen , aan de linkerkant 
B: 	en Antenne op de bovenkant 
B: 	of niet 
B: 	ja 
B: 	ja of sommig hebben we al hebben ook hè , misschien dat ik dan de verkeerd hebben noemen eerder 
B: 	aan de linkerkant horen een pilaar te zitten zeggen je , maar die moeten ook aan de rechts rechterkant weer uitsteken 
B: 	ja 
B: 	en daar zijn dan nog die bak 
B: 	oké nou zullen wel duidelijk moeten zijn toch 
B: 	dat denken ik dan dat het zijn er ook twee uitstulping aan de beide kant 
B: 	oké 
B: 	dan zijn het P 
A: 	okee 
A: 	ja met dat plank 
A: 	dertien 
B: 	dit zijn een kop met aan beide kant een uitstulping met een rond aan het eind van zijn uitstulping 
B: 	en hij leunt op een plaat met een stok 
B: 	ja dat zijn die ja 
A: 	dit zijn degeen met die twee uitsteeksel die waarbij de een lang met dat ei met die ei aan de uitein 
A: 	okee 
A: 	okee vier 
B: 	ja 
B: 	ja 
B: 	die leunlen , die leunlen , die leunlen 
B: 	met het ei op de bovenkant 
B: 	ha 
B: 	dat zijn nog niet makkelijk op worden 
B: 	ja 
B: 	met die twee 
B: 	vleugel 
B: 	F 
A: 	ik hebben nu met die twee uitsteelsel die allebei die die een zijn wat lang met die twee eit aan de uiteinde 
A: 	ja nummer elf 
B: 	oké 
B: 	bak met aan beide kant dus die een met aan beide kant zo'n pilaar die uitsteken 
B: 	en hier hebben we heel lang moeilijk over doen ook 
B: 	en die leunlen 
B: 	welk wat 
B: 	ja ja ja ja ja 
B: 	ja 
B: 	met die twee dinget zo 
B: 	M 
B: 	het moeilijk kop met het beide paal zo aan de beide zij 
